Participant ID: 1
Session Start: 2025-04-10T02:36:11.055Z
Session End: 2025-04-10T02:43:06.823Z
Total Stimuli: 50
Session Duration: 415.768 seconds

Trigger Pattern Information:
- Stimulus Trigger: Single flash (1000ms)

Stimulus Order:
Stimulus 1: FORWARD
Stimulus 2: STOP
Stimulus 3: LEFT
Stimulus 4: STOP
Stimulus 5: BACKWARD
Stimulus 6: RIGHT
Stimulus 7: RIGHT
Stimulus 8: LEFT
Stimulus 9: BACKWARD
Stimulus 10: LEFT
Stimulus 11: FORWARD
Stimulus 12: LEFT
Stimulus 13: STOP
Stimulus 14: LEFT
Stimulus 15: STOP
Stimulus 16: BACKWARD
Stimulus 17: RIGHT
Stimulus 18: FORWARD
Stimulus 19: LEFT
Stimulus 20: LEFT
Stimulus 21: BACKWARD
Stimulus 22: RIGHT
Stimulus 23: STOP
Stimulus 24: FORWARD
Stimulus 25: LEFT
Stimulus 26: LEFT
Stimulus 27: RIGHT
Stimulus 28: LEFT
Stimulus 29: RIGHT
Stimulus 30: FORWARD
Stimulus 31: FORWARD
Stimulus 32: BACKWARD
Stimulus 33: BACKWARD
Stimulus 34: STOP
Stimulus 35: STOP
Stimulus 36: STOP
Stimulus 37: RIGHT
Stimulus 38: STOP
Stimulus 39: STOP
Stimulus 40: RIGHT
Stimulus 41: RIGHT
Stimulus 42: RIGHT
Stimulus 43: FORWARD
Stimulus 44: BACKWARD
Stimulus 45: BACKWARD
Stimulus 46: BACKWARD
Stimulus 47: BACKWARD
Stimulus 48: FORWARD
Stimulus 49: FORWARD
Stimulus 50: FORWARD
