Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel,Timestamp (Formatted),Stimulus_Direction,Stimulus_Number
57.0,13090.992044328696,1684.2933516852083,-61001.08456624563,-58063.908882607095,-34946.68423493913,-32300.975298997797,-20479.04824960807,-21649.027961376665,0.0,0.0,0.0,193.0,1.0,154.0,0.0,10.0,3.0,249.0,410.0,10.0,1017.0,1744252765.7483013,0.0,2025-04-09 22:39:25.748,FORWARD,24
58.0,13203.309560216614,1693.792843078714,-61015.27792397475,-58056.912786592584,-34983.34109584583,-32329.473773178313,-20361.656887728797,-21671.983202932264,0.0,0.0,0.0,193.0,1.0,154.0,0.0,9.0,3.0,251.0,410.0,9.0,1019.0,1744252765.7483096,0.0,2025-04-09 22:39:25.748,FORWARD,24
59.0,13193.85477231202,1714.7587793777918,-60965.008850694765,-58058.231539515444,-34895.47638839202,-32236.624626710967,-20725.744453161296,-21594.42264967235,0.0,0.0,0.0,193.0,1.0,154.0,0.0,9.0,3.0,249.0,410.0,9.0,1017.0,1744252765.7483184,0.0,2025-04-09 22:39:25.748,FORWARD,24
60.0,13138.64596350741,1721.7101719033924,-60985.10306896008,-58046.854501587695,-34909.870911821235,-32257.612914754503,-20446.682923636785,-21609.08539403503,0.0,0.0,0.0,193.0,1.0,154.0,0.0,8.0,3.0,252.0,410.0,8.0,1020.0,1744252765.7483268,0.0,2025-04-09 22:39:25.748,FORWARD,24
61.0,13080.285558734604,1680.5159068722614,-61015.0991100191,-58087.24410381843,-34952.29452279741,-32301.936424009375,-20541.700189316296,-21664.070685395087,0.0,0.0,0.0,193.0,1.0,153.0,0.0,7.0,3.0,249.0,409.0,7.0,1017.0,1744252765.7483354,0.0,2025-04-09 22:39:25.748,FORWARD,24
62.0,13191.463135655302,1696.7432733468145,-61014.83088908564,-58042.31709746327,-34990.8065784939,-32339.30854073865,-20327.63753266782,-21696.7712875332,0.0,0.0,0.0,193.0,1.0,155.0,0.0,7.0,3.0,252.0,411.0,7.0,1020.0,1744252765.748344,0.0,2025-04-09 22:39:25.748,FORWARD,24
63.0,13200.247371226236,1715.5634421781829,-60979.202208423885,-58080.65033920412,-34912.48606592251,-32255.19892635333,-20739.11079634557,-21620.7530046407,0.0,0.0,0.0,193.0,1.0,153.0,0.0,7.0,3.0,249.0,409.0,7.0,1017.0,1744252765.7483523,0.0,2025-04-09 22:39:25.748,FORWARD,24
64.0,13146.580832789045,1720.0561428136998,-60980.07392645764,-58046.496873676406,-34910.3402984548,-32265.011342169208,-20460.38454298789,-21612.996949314707,0.0,0.0,0.0,193.0,1.0,155.0,0.0,6.0,3.0,253.0,411.0,6.0,1021.0,1744252765.7483609,0.0,2025-04-09 22:39:25.748,FORWARD,24
65.0,13088.846276860986,1699.0007995368005,-60999.676406344945,-58092.96615039899,-34927.01469981846,-32278.981182453776,-20545.365875406966,-21635.795728659123,0.0,0.0,0.0,193.0,1.0,154.0,0.0,6.0,3.0,249.0,410.0,6.0,1017.0,1744252765.7483745,0.0,2025-04-09 22:39:25.748,FORWARD,24
66.0,13180.354318661013,1705.013418795278,-60991.51801961876,-58026.26854494435,-34969.706531728094,-32326.478639421304,-20308.415032436256,-21679.53809255816,0.0,0.0,0.0,193.0,1.0,155.0,0.0,6.0,3.0,251.0,411.0,6.0,1019.0,1744252765.7483828,0.0,2025-04-09 22:39:25.748,FORWARD,24
