Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,Accel Channel 0,Accel Channel 1,Accel Channel 2,Not Used,Digital Channel 0 (D11),Digital Channel 1 (D12),Digital Channel 2 (D13),Digital Channel 3 (D17),Not Used,Digital Channel 4 (D18),Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Marker Channel,Timestamp (Formatted),Stimulus_Direction,Stimulus_Number
73.0,14703.737462012466,2401.493776022646,-62841.12487329542,-60460.21705391611,-36030.721489277064,-33532.19879057393,-20039.07651174981,-22156.18904306758,0.0,0.0,0.0,193.0,1.0,155.0,0.0,9.0,3.0,252.0,411.0,9.0,1020.0,1744252709.7306244,0.0,2025-04-09 22:38:29.730,RIGHT,17
74.0,14637.956278080497,2369.977816340663,-62867.231710819215,-60505.144060271276,-36062.61742861479,-33564.09472991165,-20136.999504208507,-22188.844941716783,0.0,0.0,0.0,193.0,1.0,154.0,0.0,9.0,3.0,250.0,410.0,9.0,1018.0,1744252709.7306335,0.0,2025-04-09 22:38:29.730,RIGHT,17
75.0,14740.260212452438,2371.050700074518,-62874.58543474501,-60466.0732109634,-36116.999222874554,-33622.902169573565,-19811.133421794584,-22234.598962616798,0.0,0.0,0.0,193.0,1.0,155.0,0.0,8.0,3.0,252.0,411.0,8.0,1020.0,1744252709.7306423,0.0,2025-04-09 22:38:29.730,RIGHT,17
76.0,14787.73531767551,2407.9087266813194,-62837.77211162712,-60504.518211426526,-36040.46684985958,-33535.68566270896,-20332.55491644799,-22167.834301928797,0.0,0.0,0.0,193.0,1.0,154.0,0.0,7.0,3.0,249.0,410.0,7.0,1017.0,1744252709.7306511,0.0,2025-04-09 22:38:29.730,RIGHT,17
77.0,14725.932744256586,2415.2848023515708,-62830.55249816806,-60450.98578345607,-36032.44257360012,-33534.411613275006,-20077.722677913032,-22156.81489191233,0.0,0.0,0.0,193.0,1.0,155.0,0.0,7.0,3.0,252.0,411.0,7.0,1020.0,1744252709.7306597,0.0,2025-04-09 22:38:29.730,RIGHT,17
78.0,14645.80174038431,2380.371377512381,-62853.30657402356,-60500.71841486912,-36044.914847006185,-33538.97136914389,-20137.871222242266,-22165.62147922772,0.0,0.0,0.0,193.0,1.0,154.0,0.0,7.0,3.0,249.0,410.0,7.0,1017.0,1744252709.7306733,0.0,2025-04-09 22:38:29.730,RIGHT,17
79.0,14715.405072618136,2367.854400617409,-62854.580623457514,-60444.05674267492,-36097.26263252051,-33591.810893036236,-19838.581363985704,-22210.749651282986,0.0,0.0,0.0,193.0,1.0,155.0,0.0,6.0,3.0,252.0,411.0,6.0,1020.0,1744252709.7306821,0.0,2025-04-09 22:38:29.730,RIGHT,17
80.0,14778.839323382297,2387.2557148046153,-62844.14235879688,-60502.908885825746,-36047.26178017399,-33534.188095830454,-20227.7252349526,-22180.77596196842,0.0,0.0,0.0,193.0,1.0,154.0,0.0,6.0,3.0,250.0,410.0,6.0,1018.0,1744252709.7306907,0.0,2025-04-09 22:38:29.730,RIGHT,17
81.0,14720.322456398304,2388.2838950495598,-62815.95680903874,-60439.47463506158,-36013.62240476876,-33510.495246707826,-20136.93244897514,-22145.7284266625,0.0,0.0,0.0,193.0,1.0,154.0,0.0,6.0,3.0,250.0,410.0,6.0,1018.0,1744252709.7306995,0.0,2025-04-09 22:38:29.730,RIGHT,17
82.0,14631.586030910736,2360.4783249471575,-62865.24240556269,-60512.11780454133,-36047.440594129635,-33540.44658427794,-20105.952931160085,-22167.879005417708,0.0,0.0,0.0,193.0,1.0,155.0,0.0,5.0,3.0,252.0,411.0,5.0,1020.0,1744252709.7307081,0.0,2025-04-09 22:38:29.730,RIGHT,17
83.0,14669.025202873374,2337.0313450135404,-62869.77980968712,-60469.64949007625,-36104.5716529574,-33598.47171288392,-19927.42954819555,-22218.170430442147,0.0,0.0,0.0,193.0,1.0,154.0,0.0,5.0,3.0,249.0,410.0,5.0,1017.0,1744252709.7307167,0.0,2025-04-09 22:38:29.730,RIGHT,17
84.0,14766.076477298318,2358.824295857465,-62863.54367298409,-60515.87289760982,-36074.352094453825,-33560.31728509871,-20129.243448882517,-22192.175351640624,0.0,0.0,0.0,193.0,1.0,155.0,0.0,5.0,3.0,252.0,411.0,5.0,1020.0,1744252709.7307255,0.0,2025-04-09 22:38:29.730,RIGHT,17
85.0,14710.95707547153,2371.341272752437,-62824.808099843045,-60458.093638192855,-36021.69138451712,-33512.14927579752,-20235.57069725641,-22136.273638757903,0.0,0.0,0.0,193.0,1.0,154.0,0.0,5.0,3.0,249.0,410.0,5.0,1017.0,1744252709.730734,0.0,2025-04-09 22:38:29.730,RIGHT,17
86.0,14630.42374019906,2357.1479150233167,-62871.88087366592,-60513.391853975285,-36050.54748660892,-33542.234723834365,-20087.60214896228,-22169.91301416314,0.0,0.0,0.0,193.0,1.0,154.0,0.0,5.0,3.0,252.0,410.0,5.0,1020.0,1744252709.7307432,0.0,2025-04-09 22:38:29.730,RIGHT,17
87.0,14634.111778034185,2318.7029145601887,-62875.03246963412,-60483.26170244953,-36093.8204638744,-33589.10633195714,-20014.847220760254,-22209.117973937748,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,251.0,410.0,4.0,1019.0,1744252709.7307518,0.0,2025-04-09 22:38:29.730,RIGHT,17
88.0,14759.39330570618,2353.795153355021,-62879.07813538053,-60505.18876376018,-36096.01093483102,-33581.9761254759,-19999.692738019556,-22207.083965192316,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,249.0,410.0,4.0,1017.0,1744252709.7307603,0.0,2025-04-09 22:38:29.730,RIGHT,17
89.0,14730.090168725274,2378.85145888942,-62818.84018407347,-60457.75836202603,-36011.09665764531,-33496.86068259009,-20321.982541320627,-22124.404862452135,0.0,0.0,0.0,193.0,1.0,155.0,0.0,4.0,3.0,251.0,411.0,4.0,1019.0,1744252709.730769,0.0,2025-04-09 22:38:29.730,RIGHT,17
90.0,14657.312888778793,2372.615322186389,-62862.18021657231,-60494.996368288565,-36039.103393447804,-33535.596255731136,-20048.26307872094,-22164.638002471685,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,249.0,410.0,4.0,1017.0,1744252709.7307777,0.0,2025-04-09 22:38:29.730,RIGHT,17
91.0,14629.976705309953,2341.6134526268784,-62873.177274844325,-60495.93514155569,-36080.83410034586,-33576.701113784446,-20091.40194551968,-22205.340529124802,0.0,0.0,0.0,193.0,1.0,155.0,0.0,4.0,3.0,251.0,411.0,4.0,1019.0,1744252709.7307863,0.0,2025-04-09 22:38:29.730,RIGHT,17
92.0,14752.77718934741,2357.0361563010406,-62882.29678658209,-60496.87391482281,-36113.33353678388,-33604.79725656477,-19907.827068308245,-22231.290904437414,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,251.0,410.0,4.0,1019.0,1744252709.7307951,0.0,2025-04-09 22:38:29.730,RIGHT,17
93.0,14739.388494418681,2379.522011223079,-62826.48448067719,-60485.54158038397,-36022.22782638405,-33513.512732209296,-20388.83660898645,-22150.176423809102,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,249.0,410.0,4.0,1017.0,1744252709.7308087,0.0,2025-04-09 22:38:29.730,RIGHT,17
94.0,14670.455714518514,2380.751357168121,-62852.8818908789,-60485.96626352862,-36037.784640524944,-33540.80421218923,-20052.107578767253,-22166.71671470603,0.0,0.0,0.0,193.0,1.0,155.0,0.0,4.0,3.0,252.0,411.0,4.0,1020.0,1744252709.7308176,0.0,2025-04-09 22:38:29.730,RIGHT,17
95.0,14611.402405667593,2337.724249091655,-62880.21807434775,-60520.231487778605,-36078.822443344885,-33578.04221845177,-20147.013085724484,-22198.411488343656,0.0,0.0,0.0,193.0,1.0,153.0,0.0,4.0,3.0,250.0,409.0,4.0,1018.0,1744252709.7308264,0.0,2025-04-09 22:38:29.730,RIGHT,17
96.0,14731.766549559421,2344.8321038284425,-62888.287054096116,-60491.285978708984,-36126.72223171261,-33620.64464338358,-19856.328649083218,-22237.951724285096,0.0,0.0,0.0,193.0,1.0,154.0,0.0,4.0,3.0,252.0,410.0,4.0,1020.0,1744252709.7308347,0.0,2025-04-09 22:38:29.730,RIGHT,17
97.0,14749.469131168025,2373.1517640533166,-62836.0286755596,-60506.37340621631,-36028.754535765,-33521.894636380035,-20390.110658420403,-22158.357162279746,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.7308435,0.0,2025-04-09 22:38:29.730,RIGHT,17
98.0,14680.357537312215,2374.7610896540987,-62853.038353090094,-60482.12176348231,-36041.31621614888,-33549.990779160355,-20067.306764996858,-22179.524264278924,0.0,0.0,0.0,193.0,1.0,155.0,0.0,3.0,3.0,252.0,411.0,3.0,1020.0,1744252709.7308521,0.0,2025-04-09 22:38:29.730,RIGHT,17
99.0,14612.072958001252,2349.7494876086103,-62878.67580398033,-60531.47441523962,-36067.75832983951,-33573.52716607179,-20176.830312827864,-22204.24529364649,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,249.0,410.0,3.0,1017.0,1744252709.7308607,0.0,2025-04-09 22:38:29.730,RIGHT,17
100.0,14702.374005600692,2341.926377049253,-62886.76713547315,-60484.513400139025,-36128.06333637993,-33624.936178319,-19856.26159384985,-22238.130538240737,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.7308695,0.0,2025-04-09 22:38:29.730,RIGHT,17
101.0,14746.183424733093,2368.301435506515,-62858.20160605927,-60528.613391949344,-36056.06836748938,-33540.759508700314,-20339.238088040125,-22172.215243842038,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.730878,0.0,2025-04-09 22:38:29.730,RIGHT,17
102.0,14688.605331016224,2375.275179776571,-62841.77307388462,-60466.3190801524,-36039.21515217008,-33530.38829927305,-20121.912076701174,-22155.58554596729,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,251.0,410.0,3.0,1019.0,1744252709.730887,0.0,2025-04-09 22:38:29.730,RIGHT,17
103.0,14614.218725468962,2348.788362597032,-62879.83809469201,-60530.245069294586,-36071.3122572079,-33553.92468618449,-20173.47755115957,-22186.274491104425,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.7308958,0.0,2025-04-09 22:38:29.730,RIGHT,17
104.0,14687.375985071181,2342.641632871823,-62874.83130393402,-60467.21314993062,-36120.687260709674,-33603.65731759755,-19917.281856212838,-22225.278285178934,0.0,0.0,0.0,193.0,1.0,155.0,0.0,3.0,3.0,252.0,411.0,3.0,1020.0,1744252709.7309043,0.0,2025-04-09 22:38:29.730,RIGHT,17
105.0,14765.852959853764,2373.330578008959,-62858.7380479262,-60516.47639471012,-36065.29963794943,-33543.53112501277,-20230.273333820503,-22177.378496811212,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.7309127,0.0,2025-04-09 22:38:29.730,RIGHT,17
106.0,14712.09701443875,2388.976799127674,-62824.33871320948,-60447.320097365395,-36028.352204364804,-33504.75084838281,-20190.107249034318,-22130.61864741071,0.0,0.0,0.0,193.0,1.0,155.0,0.0,3.0,3.0,252.0,411.0,3.0,1020.0,1744252709.7309215,0.0,2025-04-09 22:38:29.730,RIGHT,17
107.0,14645.712333406489,2384.349988025426,-62863.610728217456,-60504.80878410445,-36053.4085098992,-33528.55545622772,-20140.5534315769,-22163.58747048229,0.0,0.0,0.0,193.0,1.0,154.0,0.0,3.0,3.0,250.0,410.0,3.0,1018.0,1744252709.7309303,0.0,2025-04-09 22:38:29.730,RIGHT,17
